INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 154	Loss: 0.7902127504348755	Top1 accuracy: 85.9375
DEBUG:root:Epoch: 155	Loss: 0.7447699904441833	Top1 accuracy: 86.71875
DEBUG:root:Epoch: 156	Loss: 0.6489859819412231	Top1 accuracy: 85.3515625
DEBUG:root:Epoch: 157	Loss: 0.6938862800598145	Top1 accuracy: 87.5
DEBUG:root:Epoch: 158	Loss: 0.8096996545791626	Top1 accuracy: 87.6953125
DEBUG:root:Epoch: 159	Loss: 0.7120803594589233	Top1 accuracy: 90.4296875
DEBUG:root:Epoch: 160	Loss: 0.6902729272842407	Top1 accuracy: 87.6953125
DEBUG:root:Epoch: 161	Loss: 0.6849884390830994	Top1 accuracy: 87.5
DEBUG:root:Epoch: 162	Loss: 0.6498316526412964	Top1 accuracy: 86.71875
DEBUG:root:Epoch: 163	Loss: 0.8032448887825012	Top1 accuracy: 89.453125
DEBUG:root:Epoch: 164	Loss: 0.5479781031608582	Top1 accuracy: 86.1328125
DEBUG:root:Epoch: 165	Loss: 0.767868161201477	Top1 accuracy: 88.8671875
DEBUG:root:Epoch: 166	Loss: 0.789457380771637	Top1 accuracy: 87.5
DEBUG:root:Epoch: 167	Loss: 0.7677059173583984	Top1 accuracy: 89.6484375
DEBUG:root:Epoch: 168	Loss: 0.6664060950279236	Top1 accuracy: 91.6015625
DEBUG:root:Epoch: 169	Loss: 0.6684836745262146	Top1 accuracy: 88.0859375
DEBUG:root:Epoch: 170	Loss: 0.6372765302658081	Top1 accuracy: 88.28125
DEBUG:root:Epoch: 171	Loss: 0.6496667861938477	Top1 accuracy: 88.671875
DEBUG:root:Epoch: 172	Loss: 0.7869319915771484	Top1 accuracy: 89.453125
DEBUG:root:Epoch: 173	Loss: 0.7118780016899109	Top1 accuracy: 88.28125
DEBUG:root:Epoch: 174	Loss: 0.7202837467193604	Top1 accuracy: 89.0625
DEBUG:root:Epoch: 175	Loss: 0.6997500061988831	Top1 accuracy: 87.890625
DEBUG:root:Epoch: 176	Loss: 0.6163327097892761	Top1 accuracy: 89.6484375
DEBUG:root:Epoch: 177	Loss: 0.7770695686340332	Top1 accuracy: 84.5703125
DEBUG:root:Epoch: 178	Loss: 0.7641907334327698	Top1 accuracy: 86.9140625
DEBUG:root:Epoch: 179	Loss: 0.8842195272445679	Top1 accuracy: 87.6953125
DEBUG:root:Epoch: 180	Loss: 0.8042100667953491	Top1 accuracy: 89.2578125
DEBUG:root:Epoch: 181	Loss: 0.7585763931274414	Top1 accuracy: 84.765625
DEBUG:root:Epoch: 182	Loss: 0.7773042321205139	Top1 accuracy: 85.546875
DEBUG:root:Epoch: 183	Loss: 0.744403064250946	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 184	Loss: 0.623911440372467	Top1 accuracy: 88.8671875
DEBUG:root:Epoch: 185	Loss: 0.5951346755027771	Top1 accuracy: 89.6484375
DEBUG:root:Epoch: 186	Loss: 0.7093591690063477	Top1 accuracy: 86.71875
DEBUG:root:Epoch: 187	Loss: 0.7222203016281128	Top1 accuracy: 87.3046875
DEBUG:root:Epoch: 188	Loss: 0.7179675698280334	Top1 accuracy: 91.9921875
